Date,Close,High,Low
2013-11-05,0.232,0.232,0.232
2013-11-06,0.231,0.231,0.231
2013-11-07,0.23,0.23,0.23
2013-11-08,0.223,0.223,0.223
2013-11-11,0.226,0.226,0.226
2013-11-12,0.227,0.227,0.227
2013-11-13,0.228,0.228,0.228
2013-11-14,0.228,0.228,0.228
2013-11-15,0.237,0.237,0.237
2013-11-18,0.241,0.241,0.241
2013-11-19,0.239,0.239,0.239
2013-11-20,0.237,0.237,0.237
2013-11-21,0.232,0.232,0.232
2013-11-22,0.232,0.232,0.232
2013-11-25,0.233,0.233,0.233
2013-11-26,0.232,0.232,0.232
2013-11-27,0.232,0.232,0.232
2013-11-28,0.231,0.231,0.231
2013-11-29,0.232,0.232,0.232
2013-12-02,0.231,0.231,0.231
2013-12-03,0.227,0.227,0.227
2013-12-04,0.227,0.227,0.227
2013-12-05,0.228,0.228,0.228
2013-12-06,0.227,0.227,0.227
2013-12-09,0.224,0.224,0.224
2013-12-10,0.23,0.23,0.23
2013-12-11,0.227,0.227,0.227
2013-12-12,0.223,0.223,0.223
2013-12-13,0.222,0.222,0.222
2013-12-16,0.227,0.227,0.227
2013-12-17,0.222,0.222,0.222
2013-12-18,0.228,0.228,0.228
2013-12-19,0.222,0.222,0.222
2013-12-20,0.211,0.211,0.211
2013-12-23,0.221,0.221,0.221
2013-12-24,0.221,0.221,0.221
2013-12-27,0.219,0.219,0.219
2013-12-30,0.217,0.217,0.217
2013-12-31,0.214,0.214,0.214
2014-01-02,0.217,0.217,0.217
2014-01-03,0.222,0.222,0.222
2014-01-06,0.223,0.223,0.223
2014-01-07,0.223,0.223,0.223
2014-01-08,0.219,0.219,0.219
2014-01-09,0.217,0.217,0.217
2014-01-10,0.218,0.218,0.218
2014-01-13,0.219,0.219,0.219
2014-01-14,0.221,0.221,0.221
2014-01-15,0.218,0.218,0.218
2014-01-16,0.218,0.218,0.218
2014-01-17,0.217,0.217,0.217
2014-01-20,0.219,0.219,0.219
2014-01-21,0.219,0.219,0.219
2014-01-22,0.219,0.219,0.219
2014-01-23,0.217,0.217,0.217
2014-01-24,0.22,0.22,0.22
2014-01-27,0.227,0.227,0.227
2014-01-28,0.22,0.22,0.22
2014-01-29,0.219,0.219,0.219
2014-01-30,0.216,0.216,0.216
2014-01-31,0.216,0.216,0.216
2014-02-03,0.216,0.216,0.216
2014-02-04,0.207,0.207,0.207
2014-02-05,0.206,0.206,0.206
2014-02-06,0.202,0.202,0.202
2014-02-07,0.211,0.211,0.211
2014-02-10,0.208,0.208,0.208
2014-02-11,0.224,0.224,0.224
2014-02-12,0.227,0.227,0.227
2014-02-13,0.233,0.233,0.233
2014-02-14,0.235,0.235,0.235
2014-02-17,0.233,0.233,0.233
2014-02-18,0.232,0.232,0.232
2014-02-19,0.232,0.232,0.232
2014-02-20,0.227,0.227,0.227
2014-02-21,0.223,0.223,0.223
2014-02-24,0.226,0.226,0.226
2014-02-25,0.225,0.225,0.225
2014-02-26,0.225,0.225,0.225
2014-02-27,0.22,0.22,0.22
2014-02-28,0.218,0.218,0.218
2014-03-03,0.224,0.224,0.224
2014-03-04,0.229,0.229,0.229
2014-03-05,0.224,0.224,0.224
2014-03-06,0.224,0.224,0.224
2014-03-07,0.223,0.223,0.223
2014-03-10,0.219,0.219,0.219
2014-03-11,0.219,0.219,0.219
2014-03-12,0.216,0.216,0.216
2014-03-13,0.216,0.216,0.216
2014-03-14,0.216,0.216,0.216
2014-03-17,0.215,0.215,0.215
2014-03-18,0.212,0.212,0.212
2014-03-19,0.211,0.211,0.211
2014-03-20,0.206,0.206,0.206
2014-03-21,0.214,0.214,0.214
2014-03-24,0.211,0.211,0.211
2014-03-25,0.211,0.211,0.211
2014-03-26,0.214,0.214,0.214
2014-03-27,0.21,0.21,0.21
2014-03-28,0.214,0.214,0.214
2014-03-31,0.213,0.213,0.213
2014-04-01,0.213,0.213,0.213
