Date,Close,High,Low
2017-08-03,15.65,15.65,15.65
2017-08-04,15.73,15.73,15.73
2017-08-07,16.21,16.21,16.21
2017-08-08,16.18,16.18,16.18
2017-08-09,16.13,16.13,16.13
2017-08-10,15.74,15.74,15.74
2017-08-11,15.3,15.3,15.3
2017-08-14,15.47,15.47,15.47
2017-08-15,15.17,15.17,15.17
2017-08-16,15.74,15.74,15.74
2017-08-17,15.62,15.62,15.62
2017-08-18,15.64,15.64,15.64
2017-08-21,15.86,15.86,15.86
2017-08-22,15.9,15.9,15.9
2017-08-23,16.09,16.09,16.09
2017-08-24,16.14,16.14,16.14
2017-08-25,16.39,16.39,16.39
2017-08-29,16.6,16.6,16.6
2017-08-30,16.74,16.74,16.74
2017-08-31,17.22,17.22,17.22
2017-09-01,17.46,17.46,17.46
2017-09-04,17.4,17.4,17.4
2017-09-05,17.6,17.6,17.6
2017-09-06,17.53,17.53,17.53
2017-09-07,17.75,17.75,17.75
2017-09-08,17.27,17.27,17.27
2017-09-11,17.41,17.41,17.41
2017-09-12,17.58,17.58,17.58
2017-09-13,16.92,16.92,16.92
2017-09-14,16.75,16.75,16.75
2017-09-15,16.66,16.66,16.66
2017-09-18,16.61,16.61,16.61
2017-09-19,16.56,16.56,16.56
2017-09-20,16.58,16.58,16.58
2017-09-21,17.17,17.17,17.17
2017-09-22,17.08,17.08,17.08
2017-09-25,16.48,16.48,16.48
2017-09-26,16.43,16.43,16.43
2017-09-27,16.55,16.55,16.55
2017-09-28,16.66,16.66,16.66
2017-09-29,17.04,17.04,17.04
2017-10-02,17.19,17.19,17.19
2017-10-03,17.56,17.56,17.56
2017-10-04,17.98,17.98,17.98
2017-10-05,18.35,18.35,18.35
2017-10-06,18.37,18.37,18.37
2017-10-09,17.86,17.86,17.86
2017-10-10,18.05,18.05,18.05
2017-10-11,18.1,18.1,18.1
2017-10-12,18.18,18.18,18.18
2017-10-13,18.54,18.54,18.54
2017-10-16,18.58,18.58,18.58
2017-10-17,18.28,18.28,18.28
2017-10-18,17.9,17.9,17.9
2017-10-19,17.88,17.88,17.88
2017-10-20,17.93,17.93,17.93
2017-10-23,18.09,18.09,18.09
2017-10-24,18.03,18.03,18.03
2017-10-25,17.82,17.82,17.82
